id,brand,model,category,price,cpu,cpu_cores,ram,gpu,gpu_vram,dedicated_gpu,cuda_support,weight,screen_size,screen_resolution,screen_quality_score
1,Apple,Apple Ultrabook,Ultrabook,859.98,Intel Core i5 2.3GHz,4,8,Intel Iris Plus Graphics 640,0,False,False,1.37,13.3,2560x1600,0.8
2,Apple,Apple Ultrabook,Ultrabook,577.05,Intel Core i5 1.8GHz,4,8,Intel HD Graphics 6000,0,False,False,1.34,13.3,1440x900,0.4
3,HP,HP Notebook,Notebook,369.11,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.86,15.6,1920x1080,0.6
4,Apple,Apple Ultrabook,Ultrabook,1628.86,Intel Core i7 2.7GHz,8,16,AMD Radeon Pro 455,4,True,False,1.83,15.4,2880x1800,0.8
5,Apple,Apple Ultrabook,Ultrabook,1157.78,Intel Core i5 3.1GHz,4,8,Intel Iris Plus Graphics 650,0,False,False,1.37,13.3,2560x1600,0.8
6,Acer,Acer Notebook,Notebook,256.77,AMD A9-Series 9420 3GHz,2,4,AMD Radeon R5,0,False,False,2.1,15.6,1366x768,0.4
7,Apple,Apple Ultrabook,Ultrabook,1373.71,Intel Core i7 2.2GHz,8,16,Intel Iris Pro Graphics,0,False,False,2.04,15.4,2880x1800,0.8
8,Apple,Apple Ultrabook,Ultrabook,743.8,Intel Core i5 1.8GHz,4,8,Intel HD Graphics 6000,0,False,False,1.34,13.3,1440x900,0.4
9,Asus,Asus Ultrabook,Ultrabook,959.68,Intel Core i7 8550U 1.8GHz,8,16,Nvidia GeForce MX150,2,True,True,1.3,14.0,1920x1080,0.6
10,Acer,Acer Ultrabook,Ultrabook,494.28,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.6,14.0,1920x1080,0.6
11,HP,HP Notebook,Notebook,252.86,Intel Core i5 7200U 2.5GHz,4,4,Intel HD Graphics 620,0,False,False,1.86,15.6,1366x768,0.4
12,HP,HP Notebook,Notebook,221.46,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,1.86,15.6,1920x1080,0.6
13,Apple,Apple Ultrabook,Ultrabook,1566.28,Intel Core i7 2.8GHz,8,16,AMD Radeon Pro 555,4,True,False,1.83,15.4,2880x1800,0.8
14,Dell,Dell Notebook,Notebook,320.26,Intel Core i3 6006U 2GHz,2,4,AMD Radeon R5 M430,0,False,False,2.2,15.6,1920x1080,0.6
15,Apple,Apple Ultrabook,Ultrabook,810.37,Intel Core M m3 1.2GHz,2,8,Intel HD Graphics 615,0,False,False,0.92,12.0,2304x1440,0.4
16,Apple,Apple Ultrabook,Ultrabook,974.8,Intel Core i5 2.3GHz,4,8,Intel Iris Plus Graphics 640,0,False,False,1.37,13.3,2560x1600,0.8
17,Dell,Dell Notebook,Notebook,478.24,Intel Core i7 7500U 2.7GHz,8,8,AMD Radeon R5 M430,0,False,False,2.2,15.6,1920x1080,0.6
18,Apple,Apple Ultrabook,Ultrabook,1834.63,Intel Core i7 2.9GHz,8,16,AMD Radeon Pro 560,4,True,False,1.83,15.4,2880x1800,0.8
19,Lenovo,Lenovo Notebook,Notebook,320.32,Intel Core i3 7100U 2.4GHz,2,8,Nvidia GeForce 940MX,4,True,True,2.2,15.6,1920x1080,0.6
20,Dell,Dell Ultrabook,Ultrabook,628.45,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.22,13.3,1920x1080,0.6
21,Lenovo,Lenovo Gaming,Gaming,641.29,Intel Core i5 7300HQ 2.5GHz,4,8,Nvidia GeForce GTX 1050,2,True,True,2.5,15.6,1920x1080,0.6
22,HP,HP Notebook,Notebook,165.62,AMD E-Series E2-9000e 1.5GHz,2,4,AMD Radeon R2,0,False,False,1.86,15.6,1366x768,0.4
23,Dell,Dell 2 in 1 Convertible,2 in 1 Convertible,525.74,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.62,13.3,1920x1080,0.6
24,HP,HP Ultrabook,Ultrabook,423.03,Intel Core i7 8550U 1.8GHz,8,8,Intel HD Graphics 620,0,False,False,1.91,15.6,1920x1080,0.6
25,Dell,Dell Notebook,Notebook,268.74,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,2.3,15.6,1366x768,0.4
26,Apple,Apple Ultrabook,Ultrabook,705.48,Intel Core i5 1.6GHz,4,8,Intel HD Graphics 6000,0,False,False,1.35,13.3,1440x900,0.4
27,Dell,Dell Notebook,Notebook,513.54,Intel Core i5 8250U 1.6GHz,4,8,AMD Radeon 530,4,True,False,2.2,15.6,1920x1080,0.6
28,Dell,Dell Ultrabook,Ultrabook,833.22,Intel Core i7 8650U 1.9GHz,8,8,Intel UHD Graphics 620,0,False,False,1.88,15.6,1920x1080,0.6
29,HP,HP Notebook,Notebook,575.17,Intel Core i5 8250U 1.6GHz,4,8,Nvidia GeForce 930MX,4,True,True,2.5,17.3,1920x1080,0.6
30,Chuwi,Chuwi Notebook,Notebook,157.27,Intel Atom x5-Z8300 1.44GHz,2,4,Intel HD Graphics,0,False,False,1.89,15.6,1920x1080,0.6
31,Asus,Asus Notebook,Notebook,127.74,AMD E-Series E2-6110 1.5GHz,2,2,AMD Radeon R2,0,False,False,1.65,14.0,1366x768,0.4
32,HP,HP Notebook,Notebook,281.81,AMD A6-Series 9220 2.5GHz,2,4,AMD Radeon 530,4,True,False,2.71,17.3,1920x1080,0.6
33,Dell,Dell Ultrabook,Ultrabook,1199.76,Intel Core i7 8550U 1.8GHz,8,16,Intel UHD Graphics 620,0,False,False,1.2,13.3,3200x1800,0.4
34,Apple,Apple Ultrabook,Ultrabook,640.64,Intel Core i5 1.6GHz,4,8,Intel HD Graphics 6000,0,False,False,1.35,13.3,1440x900,0.4
35,Lenovo,Lenovo Notebook,Notebook,159.84,Intel Celeron Dual Core N3350 1.1GHz,2,4,Intel HD Graphics 500,0,False,False,1.44,14.0,1366x768,0.4
36,Acer,Acer Notebook,Notebook,235.59,Intel Core i3 7130U 2.7GHz,2,4,Intel HD Graphics 620,0,False,False,2.1,15.6,1366x768,0.4
37,Dell,Dell Notebook,Notebook,628.45,Intel Core i5 8250U 1.6GHz,4,8,AMD Radeon 530,4,True,False,2.8,17.3,1920x1080,0.6
38,HP,HP Notebook,Notebook,313.7,Intel Core i5 7200U 2.5GHz,4,4,Intel HD Graphics 620,0,False,False,1.86,15.6,1366x768,0.4
39,HP,HP Notebook,Notebook,564.25,Intel Core i5 8250U 1.6GHz,4,8,Nvidia GeForce 930MX ,4,True,True,2.1,15.6,1920x1080,0.6
40,Asus,Asus Notebook,Notebook,249.71,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 620,0,False,False,2.0,15.6,1920x1080,0.6
41,Dell,Dell Gaming,Gaming,962.25,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,2.65,15.6,1920x1080,0.6
42,Asus,Asus Notebook,Notebook,335.72,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce 940MX,4,True,True,2.3,15.6,1366x768,0.4
43,Acer,Acer Notebook,Notebook,437.79,Intel Core i5 8250U 1.6GHz,4,4,Intel UHD Graphics 620,0,False,False,2.2,15.6,1920x1080,0.6
44,Dell,Dell 2 in 1 Convertible,2 in 1 Convertible,641.29,Intel Core i5 8250U 1.6GHz,4,12,Nvidia GeForce 150MX,4,True,True,2.77,17.3,1920x1080,0.6
45,Apple,Apple Ultrabook,Ultrabook,910.9,Intel Core i5 2.0GHz,4,8,Intel Iris Graphics 540,0,False,False,1.37,13.3,2560x1600,0.8
46,Asus,Asus Gaming,Gaming,833.86,AMD Ryzen 1700 3GHz,2,8,AMD Radeon RX 580,4,True,False,3.2,17.3,1920x1080,0.6
47,Dell,Dell Notebook,Notebook,410.19,Intel Core i5 7200U 2.5GHz,4,4,AMD Radeon R5 M430,0,False,False,2.3,15.6,1920x1080,0.6
48,Asus,Asus Notebook,Notebook,299.14,Intel Pentium Quad Core N4200 1.1GHz,2,4,Nvidia GeForce 920MX,4,True,True,2.8,17.3,1366x768,0.4
49,Acer,Acer Notebook,Notebook,539.86,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce MX150,2,True,True,2.2,15.6,1920x1080,0.6
50,HP,HP Notebook,Notebook,255.8,AMD A6-Series 9220 2.5GHz,2,4,AMD Radeon R4 Graphics,0,False,False,1.86,15.6,1920x1080,0.6
51,HP,HP Notebook,Notebook,708.05,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.49,13.3,1920x1080,0.6
52,Acer,Acer Notebook,Notebook,246.5,Intel Core i3 7100U 2.4GHz,2,4,Intel HD Graphics 620,0,False,False,2.4,15.6,1366x768,0.4
53,Dell,Dell Notebook,Notebook,492.87,Intel Core i7 8550U 1.8GHz,8,8,AMD Radeon 520,4,True,False,2.13,15.6,1920x1080,0.6
54,HP,HP Notebook,Notebook,281.81,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,1.91,15.6,1920x1080,0.6
55,Asus,Asus Notebook,Notebook,376.29,Intel Core i5 7200U 2.5GHz,4,4,Intel HD Graphics 620,0,False,False,2.0,15.6,1366x768,0.4
56,MSI,MSI Gaming,Gaming,1572.08,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1070,6,True,True,2.43,17.3,1920x1080,0.6
57,Asus,Asus Notebook,Notebook,266.4,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,2.0,15.6,1920x1080,0.6
58,Dell,Dell Notebook,Notebook,833.86,Intel Core i7 8550U 1.8GHz,8,16,AMD Radeon 530,4,True,False,2.8,17.3,1920x1080,0.6
59,Dell,Dell Ultrabook,Ultrabook,564.25,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.7,14.0,1920x1080,0.6
60,Lenovo,Lenovo Notebook,Notebook,384.51,Intel Core i3 7130U 2.7GHz,2,8,Intel HD Graphics 620,0,False,False,1.7,14.0,1920x1080,0.6
61,Asus,Asus Notebook,Notebook,604.05,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.4,14.0,1920x1080,0.6
62,HP,HP Notebook,Notebook,442.93,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.86,15.6,1920x1080,0.6
63,Asus,Asus Ultrabook,Ultrabook,1272.94,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050 Ti,2,True,True,1.8,15.6,1920x1080,0.6
64,HP,HP Notebook,Notebook,281.61,Intel Core i3 6006U 2GHz,2,4,AMD Radeon 520,4,True,False,1.86,15.6,1366x768,0.4
65,HP,HP Notebook,Notebook,147.0,Intel Celeron Dual Core N3060 1.6GHz,2,4,Intel HD Graphics 400,0,False,False,1.44,14.0,1366x768,0.4
66,Lenovo,Lenovo Notebook,Notebook,352.42,Intel Core i5 7200U 2.5GHz,4,4,Intel HD Graphics 620,0,False,False,1.9,15.6,1920x1080,0.6
